,0,1,2,3,4,race,income
0,1.0,226810.0,1.0,24.0,41.0, Black,-1
1,1.0,89824.0,-1.0,39.0,49.0, White,-1
2,1.0,336964.0,0.0,27.0,40.0, White,1
3,7689.0,160334.0,-1.0,43.0,39.0, Black,1
4,0.0,103508.0,0.0,19.0,29.0, White,-1
5,2.0,198700.0,1.0,35.0,30.0, White,-1
6,1.0,227037.0,0.0,31.0,40.0, Black,-1
7,3103.0,104642.0,-1.0,63.0,31.0, White,1
8,2.0,369677.0,1.0,26.0,38.0, White,-1
9,1.0,105000.0,-1.0,56.0,10.0, White,-1
10,6419.0,184464.0,-1.0,65.0,40.0, White,1
11,-1.0,212479.0,-1.0,36.0,40.0, White,-1
12,1.0,82100.0,2.0,29.0,40.0, White,-1
13,0.0,299842.0,-2.0,59.0,35.0, White,-1
14,3104.0,279734.0,-1.0,48.0,48.0, White,1
15,1.0,346204.0,-1.0,45.0,50.0, White,1
16,0.0,444565.0,2.0,20.0,23.0, White,-1
17,1.0,128363.0,1.0,46.0,30.0, White,-1
18,1.0,60557.0,0.0,39.0,20.0, White,-1
19,1.0,85035.0,-2.0,39.0,46.0, Asian-Pac-Islander,1
20,0.0,107927.0,-1.0,34.0,47.0, White,1
21,1.0,238598.0,1.0,35.0,33.0, Black,-1
22,0.0,132019.0,-2.0,74.0,7.0, White,-1
23,0.0,220944.0,1.0,25.0,43.0, White,-1
24,0.0,205960.0,-1.0,25.0,40.0, White,-1
25,7298.0,432834.0,-1.0,47.0,89.0, White,1
26,1.0,236437.0,2.0,23.0,20.0, White,-1
27,2.0,134456.0,0.0,24.0,53.0, Black,-1
28,1.0,99526.0,-1.0,56.0,35.0, White,-1
29,0.0,109292.0,1.0,33.0,59.0, White,-1
30,7688.0,106455.0,0.0,47.0,37.0, Black,1
31,0.0,186658.0,0.0,58.0,49.0, White,-1
32,-1.0,188287.0,1.0,25.0,50.0, White,-1
33,1.0,258131.0,-1.0,22.0,39.0, White,-1
34,2.0,43320.0,-1.0,30.0,40.0, White,-1
35,0.0,191857.0,-2.0,66.0,40.0, White,-1
36,-1.0,403694.0,-1.0,35.0,40.0, White,1
37,2.0,248450.0,0.0,21.0,51.0, White,-1
38,2.0,269437.0,1.0,17.0,41.0, White,-1
39,1.0,257519.0,1.0,22.0,40.0, White,-1
40,1.0,136398.0,-1.0,66.0,50.0, White,1
41,1.0,120288.0,-1.0,43.0,45.0, White,1
42,1.0,465336.0,-1.0,37.0,39.0, White,-1
43,1.0,103642.0,-1.0,29.0,40.0, White,-1
44,0.0,138382.0,2.0,20.0,30.0, White,-1
45,1.0,242842.0,0.0,29.0,36.0, White,1
46,1.0,290212.0,-1.0,39.0,39.0, White,-1
