,0,1,2,3,4,race,income
0,2173.0,77530.0,3.0,40.0,41.0, White,-1
1,-1.0,83325.0,-1.0,51.0,12.0, White,-1
2,1.0,215656.0,-2.0,40.0,41.0, White,-1
3,1.0,234729.0,-2.0,53.0,41.0, Black,-1
4,0.0,338422.0,0.0,29.0,40.0, Black,-1
5,1.0,284596.0,0.0,41.0,40.0, White,-1
6,0.0,160192.0,-1.0,50.0,17.0, Black,-1
7,0.0,209652.0,-1.0,54.0,44.0, White,1
8,14085.0,45794.0,1.0,34.0,51.0, White,1
9,5178.0,159463.0,-1.0,43.0,40.0, White,1
10,1.0,280475.0,-1.0,38.0,79.0, Black,1
11,-1.0,141310.0,0.0,30.0,40.0, Asian-Pac-Islander,1
12,0.0,122285.0,2.0,24.0,30.0, White,-1
13,1.0,205031.0,2.0,33.0,51.0, Black,-1
14,1.0,121784.0,-1.0,39.0,41.0, Asian-Pac-Islander,1
15,2.0,245491.0,-1.0,33.0,44.0, Amer-Indian-Eskimo,-1
16,0.0,176766.0,1.0,26.0,33.0, White,-1
17,2.0,186834.0,1.0,33.0,40.0, White,-1
18,1.0,28894.0,-1.0,38.0,51.0, White,-1
19,1.0,292189.0,-1.0,47.0,44.0, White,1
20,1.0,193540.0,-2.0,40.0,60.0, White,1
21,2.0,302155.0,0.0,57.0,18.0, Black,-1
22,0.0,76851.0,-2.0,35.0,40.0, Black,-1
23,2.0,119087.0,-1.0,43.0,41.0, White,-1
24,2.0,109023.0,-1.0,62.0,40.0, White,-1
25,-1.0,216864.0,-1.0,55.0,40.0, White,1
26,1.0,168304.0,1.0,21.0,40.0, White,-1
27,0.0,180223.0,-2.0,53.0,60.0, Asian-Pac-Islander,1
28,1.0,367270.0,-1.0,42.0,81.0, White,-1
29,1.0,193376.0,-1.0,51.0,40.0, White,-1
30,1.0,190722.0,2.0,23.0,53.0, White,-1
31,1.0,266025.0,1.0,20.0,43.0, Black,-1
32,0.0,388362.0,-1.0,46.0,40.0, White,-1
33,0.0,59962.0,-1.0,30.0,39.0, White,-1
34,0.0,311523.0,0.0,22.0,13.0, Black,-1
35,2.0,242414.0,2.0,47.0,41.0, White,-1
36,1.0,197211.0,1.0,20.0,39.0, White,-1
37,2.0,544100.0,2.0,22.0,25.0, White,-1
38,1.0,84164.0,-1.0,30.0,38.0, White,1
39,0.0,265489.0,0.0,48.0,39.0, White,-1
40,1.0,507881.0,-1.0,30.0,44.0, White,-1
41,-1.0,88519.0,-1.0,53.0,39.0, White,-1
42,0.0,173000.0,-1.0,24.0,50.0, White,-1
43,2.0,94647.0,1.0,52.0,39.0, White,-1
44,1.0,289990.0,0.0,27.0,36.0, White,-1
45,-1.0,337908.0,-2.0,57.0,40.0, Black,1
46,1.0,144371.0,-1.0,53.0,38.0, White,-1
47,2.0,128368.0,-1.0,48.0,40.0, White,-1
48,0.0,101615.0,0.0,41.0,40.0, White,-1
49,1.0,271477.0,1.0,29.0,44.0, White,-1
50,1.0,32285.0,0.0,28.0,39.0, Other,-1
51,1.0,226965.0,1.0,19.0,30.0, White,-1
52,0.0,53752.0,0.0,48.0,60.0, White,1
53,-1.0,251599.0,-2.0,52.0,56.0, White,1
54,1.0,109842.0,-1.0,50.0,61.0, White,-1
55,1.0,238003.0,-1.0,43.0,39.0, White,1
56,1.0,216670.0,-2.0,44.0,39.0, White,-1
57,1.0,56364.0,0.0,33.0,39.0, White,-1
58,1.0,147382.0,0.0,42.0,48.0, White,-1
59,5014.0,188156.0,-1.0,30.0,40.0, White,-1
60,2407.0,59509.0,-1.0,30.0,40.0, White,-1
61,-1.0,293941.0,-1.0,32.0,42.0, White,-1
62,2.0,149650.0,-1.0,49.0,40.0, White,-1
63,1.0,116648.0,-2.0,42.0,45.0, White,1
64,1.0,105608.0,-1.0,30.0,58.0, White,-1
65,1.0,155547.0,-1.0,38.0,40.0, White,-1
66,1.0,183185.0,0.0,30.0,40.0, White,-1
67,1.0,169855.0,1.0,56.0,40.0, White,1
68,1.0,191692.0,-1.0,50.0,49.0, White,1
69,0.0,200693.0,0.0,25.0,39.0, White,-1
70,1.0,101519.0,1.0,19.0,31.0, White,-1
71,0.0,309986.0,0.0,32.0,39.0, Black,-1
72,-1.0,162311.0,-1.0,29.0,69.0, White,1
73,1.0,211689.0,1.0,23.0,40.0, White,-1
74,1.0,124753.0,-1.0,80.0,19.0, White,-1
75,1.0,213931.0,1.0,27.0,38.0, White,-1
76,1.0,32227.0,1.0,40.0,40.0, White,-1
77,1.0,212767.0,-2.0,67.0,2.0, White,-1
78,1.0,309641.0,1.0,19.0,22.0, White,-1
79,0.0,125931.0,-1.0,30.0,39.0, White,-1
80,1.0,446848.0,1.0,20.0,31.0, White,-1
81,0.0,276530.0,-1.0,51.0,39.0, White,-1
82,1.0,51627.0,0.0,49.0,39.0, White,-1
83,1.0,159946.0,-1.0,60.0,48.0, White,-1
84,14345.0,343600.0,-1.0,48.0,41.0, White,1
85,1.0,346261.0,-1.0,55.0,35.0, White,-1
86,1.0,268244.0,-1.0,49.0,40.0, White,1
87,1.0,202065.0,-1.0,34.0,50.0, White,-1
88,1.0,54339.0,1.0,31.0,42.0, White,-1
89,0.0,410882.0,-1.0,45.0,51.0, White,1
90,1.0,249988.0,-1.0,56.0,40.0, White,-1
91,2.0,286740.0,-1.0,40.0,39.0, White,-1
92,2.0,212573.0,-1.0,29.0,24.0, Black,-1
93,1.0,119328.0,0.0,32.0,36.0, Asian-Pac-Islander,-1
94,0.0,226310.0,-1.0,33.0,40.0, White,1
95,0.0,115596.0,0.0,29.0,50.0, White,-1
96,0.0,193195.0,-2.0,48.0,59.0, White,1
97,1.0,202693.0,-1.0,37.0,47.0, White,1
98,1.0,171107.0,0.0,50.0,40.0, White,-1
99,0.0,249419.0,0.0,33.0,39.0, Black,-1
100,1.0,124206.0,-1.0,78.0,40.0, White,1
101,15024.0,198296.0,-1.0,45.0,60.0, White,1
102,0.0,149129.0,1.0,50.0,50.0, White,-1
103,1.0,188309.0,1.0,21.0,39.0, White,-1
104,1.0,103442.0,1.0,32.0,41.0, White,-1
105,7689.0,317670.0,-1.0,34.0,40.0, White,1
106,34096.0,304880.0,0.0,18.0,32.0, White,-1
107,1.0,194909.0,0.0,30.0,41.0, White,-1
108,0.0,189274.0,2.0,33.0,41.0, White,-1
109,1.0,124702.0,-2.0,43.0,40.0, White,-1
110,0.0,432388.0,1.0,25.0,40.0, White,-1
111,1.0,65340.0,-1.0,38.0,40.0, White,1
