0,1,2,3,4,race,income
2170.0,77529.0,0.0,36.0,79.0,4,-1
-2.0,83324.0,0.0,47.0,55.0,4,-1
0.0,215655.0,0.0,30.0,84.0,4,-1
-2.0,234728.0,0.0,56.0,84.0,2,-1
-2.0,338422.0,0.0,18.0,55.0,2,-1
-2.0,284596.0,0.0,24.0,83.0,4,-1
-3.0,160192.0,0.0,46.0,47.0,2,-1
-2.0,209651.0,0.0,47.0,87.0,4,1
14080.0,45795.0,0.0,22.0,99.0,4,1
5176.0,159462.0,0.0,37.0,82.0,4,1
-2.0,280474.0,0.0,26.0,122.0,2,1
-2.0,141310.0,0.0,28.0,68.0,1,1
-4.0,122285.0,0.0,15.0,70.0,4,-1
-4.0,205031.0,0.0,28.0,100.0,2,-1
-2.0,121783.0,0.0,36.0,42.0,1,1
-2.0,245491.0,0.0,33.0,84.0,0,-1
-4.0,176765.0,0.0,17.0,78.0,4,-1
-4.0,186833.0,0.0,21.0,85.0,4,-1
-2.0,28894.0,0.0,41.0,100.0,4,-1
0.0,292189.0,0.0,33.0,88.0,4,1
-2.0,193540.0,0.0,34.0,108.0,4,1
-5.0,302155.0,0.0,43.0,67.0,2,-1
-2.0,76850.0,0.0,30.0,83.0,2,-1
-2.0,119086.0,0.0,46.0,92.0,4,-1
0.0,109024.0,0.0,48.0,92.0,4,-1
-2.0,216864.0,0.0,49.0,91.0,4,1
-4.0,168303.0,0.0,9.0,81.0,4,-1
-2.0,180221.0,0.0,39.0,94.0,1,1
0.0,367269.0,0.0,31.0,122.0,4,-1
-2.0,193375.0,0.0,42.0,81.0,4,-1
-4.0,190721.0,0.0,17.0,101.0,4,-1
-4.0,266025.0,0.0,6.0,94.0,2,-1
0.0,388361.0,0.0,37.0,82.0,4,-1
-2.0,59961.0,0.0,13.0,79.0,4,-1
-2.0,311522.0,0.0,14.0,61.0,2,-1
-4.0,242413.0,0.0,47.0,79.0,4,-1
-4.0,197210.0,0.0,7.0,85.0,4,-1
